#{"t_start": 1777198318.5475886, "env_id": "Reacher-v4"}
r,l,t
-35.668606,50,13.351286
-32.69068,50,13.405637
-38.398048,50,13.456832
-38.715454,50,13.507882
-33.279368,50,13.561149
-31.849388,50,13.624708
-32.534252,50,13.676188
-29.774523,50,13.729604
-40.492397,50,13.781795
-37.995125,50,13.837059
-32.315681,50,13.902221
-34.983022,50,13.953766
-34.677913,50,14.005923
-37.956846,50,14.072647
-32.848768,50,14.124365
-33.027574,50,14.176516
-32.348438,50,14.229727
-40.207752,50,14.294825
-33.732757,50,14.347494
-42.903716,50,14.400363
-27.552647,50,14.453217
-36.576513,50,14.526062
-35.37334,50,14.577912
-38.588475,50,14.633753
-35.148835,50,14.686474
-31.552315,50,14.740196
-38.036392,50,14.798793
-27.814083,50,14.859938
-36.996423,50,14.912976
-46.364689,50,14.977633
-32.570546,50,15.029118
-36.821358,50,15.084858
-33.951282,50,15.137659
-31.845844,50,15.194441
-36.201391,50,15.254978
-39.427832,50,15.307078
-41.354065,50,15.363943
-39.428836,50,15.427141
-32.714716,50,15.480976
-33.427067,50,15.534296
-33.62128,50,15.597151
-39.077435,50,15.655644
-38.210766,50,15.714235
-34.261999,50,15.785241
-34.760283,50,15.837678
-31.284872,50,15.902737
-35.701592,50,15.966356
-34.89412,50,16.017113
-29.392107,50,16.079665
-38.193837,50,16.133045
-34.294234,50,16.188682
-29.834876,50,16.240649
-33.298101,50,16.293366
-31.62352,50,16.357827
-29.340643,50,16.410913
-36.498012,50,16.471469
-34.048834,50,16.52657
-33.545971,50,16.579412
-32.911116,50,16.634027
-32.978046,50,16.688604
-29.08028,50,16.740925
-30.873242,50,16.823938
-33.488837,50,16.879444
-34.139615,50,16.93089
-35.310208,50,16.984599
-32.348004,50,17.039619
-35.444362,50,17.130533
-36.541792,50,17.182975
-36.659538,50,17.23481
-33.353727,50,17.300717
-38.363886,50,17.354772
-35.874386,50,17.413466
-34.579358,50,17.46675
-31.753911,50,17.520032
-34.418358,50,17.575935
-38.257011,50,17.628316
-37.445022,50,17.685902
-35.940054,50,17.761158
-35.945061,50,17.814885
-35.192391,50,17.867178
-40.095148,50,17.918165
-34.203432,50,17.972937
-34.676718,50,18.036735
-35.482768,50,18.090413
-35.065735,50,18.153538
-33.827678,50,18.217074
-32.929298,50,18.269413
-33.303678,50,18.331821
-30.913909,50,18.385552
-40.414501,50,18.442055
-39.439946,50,18.498631
-32.67192,50,18.551089
-31.412809,50,18.625971
-31.608747,50,18.681973
-31.625858,50,18.734609
-32.460135,50,18.791486
-28.618495,50,18.843386
-30.720715,50,18.903914
-32.190212,50,19.002646
-33.748738,50,19.056181
-39.367085,50,19.108455
-35.415069,50,19.199071
-34.993061,50,19.272751
-37.732683,50,19.33101
-30.733266,50,19.402314
-38.989666,50,19.457547
-38.363771,50,19.510206
-29.677969,50,19.565367
-31.270072,50,19.619556
-26.91892,50,19.683438
-32.468362,50,19.740153
-31.882744,50,19.793407
-36.11812,50,19.871493
-29.740828,50,19.978669
-35.917139,50,20.027012
-37.936278,50,20.072695
-35.865841,50,20.11571
-31.470797,50,20.174897
-27.669832,50,20.238815
-35.078876,50,20.292684
-31.301278,50,20.34604
-29.028686,50,20.399446
-33.371379,50,20.463258
-28.0398,50,20.617961
-32.301828,50,20.675982
-33.53385,50,20.741238
-28.480363,50,20.794405
-36.106856,50,20.852238
-35.49217,50,20.908036
-34.093644,50,20.965438
-28.639699,50,21.018671
-37.239492,50,21.071896
-33.968237,50,21.136161
-33.4014,50,21.202268
-32.746493,50,21.261908
-29.326193,50,21.315596
-30.251907,50,21.369223
-28.494496,50,21.423084
-33.808302,50,21.476164
-32.480894,50,21.529196
-32.784859,50,21.583422
-32.222323,50,21.642939
-28.284068,50,21.680725
-35.773313,50,21.727783
-37.702154,50,21.78101
-29.001744,50,21.834564
-31.007383,50,21.894652
-30.729748,50,21.948409
-36.528189,50,22.006097
-33.615003,50,22.074406
-34.789328,50,22.176521
-29.651317,50,22.233377
-28.066756,50,22.293788
-33.855167,50,22.348424
-34.536741,50,22.400517
-33.014713,50,22.455805
-32.248289,50,22.511816
-34.345262,50,22.576069
-33.993951,50,22.628892
-33.973499,50,22.680766
-34.541289,50,22.728287
-34.575164,50,22.786248
-31.224333,50,22.84344
-31.193879,50,22.900995
-31.143483,50,22.960543
-28.278434,50,23.06523
-31.801098,50,23.127736
-37.491015,50,23.183721
-33.544112,50,23.237772
-32.462242,50,23.294966
-38.910551,50,23.349825
-27.185503,50,23.428886
-31.407939,50,23.488811
-33.025093,50,23.542281
-36.507667,50,23.622114
-35.586238,50,23.664477
-30.991777,50,23.701592
-34.657185,50,23.742192
-30.393896,50,23.780999
-29.630848,50,23.845564
-26.968568,50,23.883218
-35.567233,50,23.929747
-27.423218,50,23.976463
-30.398186,50,24.032869
-27.764133,50,24.085768
-31.112889,50,24.143135
-30.936468,50,24.22437
-35.105161,50,24.277774
-31.919394,50,24.330945
-28.384276,50,24.402961
-35.311839,50,24.450482
-32.741786,50,24.495084
-31.795818,50,24.570685
-34.666252,50,24.62591
-33.942212,50,24.683185
-33.475543,50,24.73056
-33.866106,50,24.796442
-32.679737,50,24.871911
-33.490369,50,24.924512
-33.683272,50,24.987302
-31.070462,50,25.040417
-32.815159,50,25.093751
-26.280502,50,25.156408
-28.76947,50,25.21195
-37.018533,50,25.264456
-29.230744,50,25.346197
-32.930811,50,25.404119
-36.06592,50,25.456691
-29.841837,50,25.510149
-29.536449,50,25.568285
-28.788689,50,25.634815
-30.106532,50,25.690213
-28.599591,50,25.744991
-33.113905,50,25.814684
-36.621504,50,25.86743
-28.47094,50,25.925271
-38.852933,50,25.963502
-27.344251,50,26.013233
-33.128129,50,26.067118
-33.350712,50,26.124898
-26.715756,50,26.177165
-35.431101,50,26.229743
-28.134313,50,26.278896
-29.482332,50,26.322806
-31.759383,50,26.381669
-30.491007,50,26.437114
-35.18466,50,26.497313
-35.122269,50,26.55008
-30.937178,50,26.611184
-39.220117,50,26.688008
-37.302226,50,26.742375
-36.44301,50,26.795167
-32.080408,50,26.85158
-39.173242,50,26.909523
-28.709924,50,26.963131
-32.59861,50,27.029577
-33.308286,50,27.084656
-31.064282,50,27.151881
-28.856038,50,27.227423
-29.712821,50,27.288334
-29.780284,50,27.34322
-36.743982,50,27.399331
-30.865367,50,27.465877
-32.533533,50,27.520009
-28.994373,50,27.577898
-32.326417,50,27.644166
-31.563671,50,27.706297
-36.707365,50,27.760133
-33.135358,50,27.814986
-31.952049,50,27.872313
-34.313156,50,27.914955
-28.797216,50,27.959021
-31.516168,50,28.011226
-37.256196,50,28.076532
-30.259194,50,28.138439
-36.622875,50,28.207792
-34.394572,50,28.26286
-34.474047,50,28.322568
-31.280737,50,28.376526
-29.208072,50,28.431135
-27.883582,50,28.491365
-26.538292,50,28.558104
-29.791093,50,28.612895
-26.454799,50,28.658773
-31.938753,50,28.744158
-36.946897,50,28.803054
-30.775707,50,28.851923
-32.365096,50,28.906439
-31.915307,50,28.961695
-33.854064,50,29.026088
-34.5072,50,29.08269
-33.726347,50,29.138873
-28.444748,50,29.194391
-33.531424,50,29.251039
-25.540299,50,29.304016
-28.331035,50,29.358117
-33.402488,50,29.412865
-38.535282,50,29.477687
-31.404241,50,29.537032
-33.337096,50,29.594481
-30.050344,50,29.651503
-26.682475,50,29.704978
-31.149875,50,29.75868
-35.323231,50,29.812606
-33.536554,50,29.867404
-31.634087,50,29.934269
-33.779541,50,29.992937
-35.015868,50,30.047597
-32.119964,50,30.098864
-31.90789,50,30.137524
-33.049697,50,30.190391
-30.383586,50,30.247974
-26.19035,50,30.302716
-27.146359,50,30.448089
-31.013993,50,30.502665
-29.89346,50,30.568167
-29.612486,50,30.61317
-25.634736,50,30.660632
-30.482322,50,30.716294
-31.279144,50,30.777573
-29.162327,50,30.830773
-33.867406,50,30.900092
-29.445563,50,30.960197
-28.706331,50,31.013445
-37.328654,50,31.0721
-32.888396,50,31.130395
-33.714378,50,31.188776
-31.492396,50,31.244275
-29.793964,50,31.30035
-32.532618,50,31.363964
-36.883647,50,31.428219
-32.271851,50,31.481743
-33.181795,50,31.534484
-27.815537,50,31.602718
-34.376128,50,31.656527
-28.947668,50,31.709845
-31.562604,50,31.770838
-35.498852,50,31.839187
-24.456041,50,31.876345
-33.533267,50,31.91285
-36.494462,50,31.958309
-29.184853,50,32.012651
-28.276996,50,32.072811
-31.547531,50,32.129602
-29.649965,50,32.185402
-29.733841,50,32.24994
-33.084789,50,32.303082
-29.094018,50,32.355615
-29.09605,50,32.408466
-32.61792,50,32.461964
-31.91994,50,32.515541
-28.230455,50,32.572925
-30.686622,50,32.651657
-39.490411,50,32.720122
-34.729936,50,32.773026
-30.128742,50,32.858833
-30.342077,50,32.917723
-24.917877,50,32.970071
-29.698292,50,33.057668
-30.163234,50,33.120477
-32.494382,50,33.174013
-29.320606,50,33.224076
-28.128251,50,33.262257
-31.616919,50,33.312153
-25.261555,50,33.353862
-33.083641,50,33.449905
-31.072123,50,33.50335
-27.600299,50,33.557379
-32.442861,50,33.614463
-35.185251,50,33.678755
-33.041874,50,33.733903
-34.239213,50,33.787723
-31.191794,50,33.840458
-34.092509,50,33.944137
-25.796079,50,33.997043
-33.41659,50,34.049325
-26.421737,50,34.102796
-36.699217,50,34.168004
-34.079617,50,34.229859
-37.590057,50,34.354398
-32.6796,50,34.396651
-38.528408,50,34.435255
-26.945917,50,34.471391
-23.645906,50,34.5077
-27.579367,50,34.550653
-22.955156,50,34.619275
-31.182623,50,34.674296
-31.249211,50,34.765927
-28.586284,50,34.802919
-30.247726,50,34.859969
-31.419195,50,34.919504
-36.61936,50,34.975018
-32.863642,50,35.028154
-35.592545,50,35.085898
-36.364276,50,35.133793
-34.971331,50,35.22271
-29.377197,50,35.287192
-35.847222,50,35.341775
-34.101879,50,35.395158
-28.914429,50,35.481203
-35.566967,50,35.53703
-34.906994,50,35.609195
-35.212697,50,35.664415
-33.292027,50,35.717875
-30.251741,50,35.770396
-29.362501,50,35.860551
-30.238117,50,35.984655
-23.77859,50,36.039159
-25.52298,50,36.105061
-36.135815,50,36.170236
-30.435645,50,36.223351
-31.883655,50,36.288007
-36.775993,50,36.346055
-23.152547,50,36.397443
-22.021261,50,36.473307
-31.553148,50,36.528578
-31.833985,50,36.623397
-31.803816,50,36.6916
-23.241487,50,36.747685
-29.519526,50,36.801317
-27.877575,50,36.870075
-31.286856,50,36.924155
-33.2977,50,36.99172
-31.583934,50,37.050715
-30.235122,50,37.106362
-32.330651,50,37.178933
-28.338971,50,37.231968
-28.462395,50,37.285784
-28.722326,50,37.344916
-31.620832,50,37.401995
-29.473797,50,37.457735
-31.172534,50,37.513052
-35.992798,50,37.574636
-32.726017,50,37.642559
-29.909838,50,37.696668
-36.845908,50,37.758867
-27.688732,50,37.813423
-30.025393,50,37.868586
-33.990233,50,37.931739
-23.996618,50,38.003148
-30.28449,50,38.056779
-30.167837,50,38.129481
-28.69298,50,38.192714
-32.369634,50,38.25033
-31.773836,50,38.303955
-31.293542,50,38.358224
-29.54541,50,38.412439
-25.661437,50,38.470187
-24.514757,50,38.523633
-27.211231,50,38.588495
-28.86858,50,38.641846
-25.670684,50,38.6999
-25.84288,50,38.752757
-30.792044,50,38.807527
-28.022559,50,38.861925
-32.052425,50,38.92558
-30.474982,50,38.979491
-29.836902,50,39.046464
-33.946047,50,39.101456
-33.292556,50,39.166007
-30.448375,50,39.229568
-30.29137,50,39.2841
-24.771636,50,39.33992
-27.718036,50,39.399182
-33.332338,50,39.455925
-28.231897,50,39.526074
-26.58635,50,39.583322
-32.727845,50,39.636549
-33.126839,50,39.77409
-31.789891,50,39.829999
-26.872731,50,39.885175
-30.88688,50,39.938319
-27.277868,50,40.012706
-25.042105,50,40.081412
-27.391102,50,40.13812
-31.630162,50,40.192028
-26.823172,50,40.25082
-27.03958,50,40.302191
-30.13356,50,40.423983
-35.150387,50,40.483543
-27.579971,50,40.536738
-32.369786,50,40.603414
-32.815889,50,40.657467
-29.142313,50,40.711058
-22.621263,50,40.766783
-34.405055,50,40.820794
-27.096062,50,40.875718
-21.431833,50,40.916882
-31.956009,50,40.969083
-27.694245,50,41.034175
-26.903021,50,41.107008
-30.736484,50,41.166492
-29.839719,50,41.22528
-29.741627,50,41.284136
-28.452212,50,41.348108
-30.698318,50,41.404104
-28.958673,50,41.524345
-30.215267,50,41.588411
-28.406389,50,41.641573
-26.446413,50,41.785172
-36.086031,50,41.837948
-27.090755,50,41.893207
-34.66188,50,41.946684
-30.149962,50,41.999827
-25.80844,50,42.052994
-26.096372,50,42.143849
-26.122299,50,42.193256
-31.244941,50,42.240284
-26.116632,50,42.30241
-31.593745,50,42.35683
-34.206178,50,42.410842
-31.533061,50,42.464288
-34.75476,50,42.520841
-29.929681,50,42.565018
-28.046208,50,42.601104
-30.07723,50,42.636979
-27.045692,50,42.675442
-31.540329,50,42.740345
-29.848959,50,42.803912
-31.862859,50,42.910849
-29.662622,50,42.965769
-24.313685,50,43.037968
-22.681568,50,43.100034
-31.061073,50,43.153295
-24.937147,50,43.206111
-30.60535,50,43.264305
-38.073817,50,43.322315
-26.725256,50,43.382728
-28.546748,50,43.436927
-32.158316,50,43.51278
-30.597658,50,43.56915
-32.602614,50,43.639455
-29.29157,50,43.693532
-36.898296,50,43.748802
-26.619813,50,43.804068
-32.083658,50,43.860747
-27.612727,50,43.915143
-30.678909,50,43.986165
-32.929617,50,44.042649
-31.401244,50,44.096524
-26.476576,50,44.159479
-32.147704,50,44.214663
-25.364173,50,44.271639
-29.038008,50,44.34625
-29.267735,50,44.4049
-23.801729,50,44.473835
-26.157385,50,44.536396
-23.565034,50,44.590179
-28.122987,50,44.645156
-31.698569,50,44.707068
-25.893002,50,44.767616
-29.573501,50,44.805529
-31.529683,50,44.85602
-30.132775,50,44.927246
-29.460169,50,44.983272
-28.810623,50,45.03698
-30.876968,50,45.089898
-28.893593,50,45.15188
-29.653764,50,45.190276
-29.347712,50,45.229282
-27.321053,50,45.277958
-23.285463,50,45.333066
-33.555379,50,45.395712
-27.080489,50,45.44469
-32.388617,50,45.501943
-24.864365,50,45.55931
-23.260736,50,45.618328
-30.257172,50,45.673348
-34.535494,50,45.728063
-28.560907,50,45.799973
-30.989525,50,45.853737
-27.258593,50,45.907438
-33.779321,50,45.96152
-28.699825,50,46.019308
-23.073038,50,46.088091
-30.119556,50,46.141759
-29.226188,50,46.199426
-29.566936,50,46.264773
-27.26289,50,46.331201
-25.1878,50,46.386549
-30.908016,50,46.443802
-23.761273,50,46.495791
-30.287019,50,46.551812
-30.206658,50,46.607872
-26.476964,50,46.66225
-29.419008,50,46.734356
-27.21629,50,46.788831
-21.740635,50,46.845105
-24.01293,50,46.898989
-34.190963,50,46.9532
-26.149144,50,47.007926
-28.230836,50,47.061704
-25.872068,50,47.118062
-35.808997,50,47.183411
-32.595659,50,47.236244
-27.119418,50,47.287766
-30.292668,50,47.341883
-23.728197,50,47.389005
-28.133082,50,47.429933
-26.451055,50,47.47786
-29.203841,50,47.530967
-25.811247,50,47.599456
-25.54165,50,47.652957
-32.200101,50,47.707701
-25.691152,50,47.76379
-21.708043,50,47.843543
-25.479526,50,47.90074
-27.192961,50,47.955389
-28.603478,50,48.016234
-23.342545,50,48.090451
-27.04482,50,48.146886
-30.440443,50,48.219861
-26.793732,50,48.274408
-29.266186,50,48.330486
-30.804568,50,48.384836
-27.972436,50,48.43831
-30.272434,50,48.491808
-24.306027,50,48.561382
-28.077661,50,48.620403
-24.937574,50,48.676092
-26.870681,50,48.732325
-29.740362,50,48.786619
-25.813331,50,48.840602
-27.958722,50,48.89641
-32.727103,50,48.953647
-25.737471,50,49.018171
-25.687346,50,49.072099
-29.679283,50,49.127277
-26.76192,50,49.190445
-29.597386,50,49.244355
-26.097158,50,49.304402
-24.968685,50,49.362766
-29.879296,50,49.418823
-32.257473,50,49.484217
-27.986179,50,49.52932
-22.548306,50,49.582804
-24.84958,50,49.637331
-24.909041,50,49.698045
-22.518743,50,49.758136
-24.276534,50,49.817086
-29.975046,50,49.886796
-29.461705,50,49.958821
-26.46343,50,50.018487
-28.65961,50,50.075634
-28.678371,50,50.129027
-26.092128,50,50.194742
-25.488902,50,50.251692
-24.068701,50,50.308488
-27.52537,50,50.373042
-28.080386,50,50.438814
-21.305843,50,50.484159
-23.417704,50,50.540296
-33.265709,50,50.58497
-27.770432,50,50.640848
-31.275387,50,50.694835
-24.920792,50,50.756021
-29.185165,50,50.812583
-26.437432,50,50.897247
-26.493192,50,50.951828
-26.650732,50,51.008548
-30.62979,50,51.059639
-29.846519,50,51.103749
-30.64867,50,51.159505
-26.872172,50,51.213408
-23.79484,50,51.270058
-28.739277,50,51.323817
-24.064744,50,51.374451
-35.3953,50,51.430445
-27.578638,50,51.485411
-34.376593,50,51.54063
-22.927221,50,51.599207
-28.849867,50,51.680717
-28.192949,50,51.743049
-28.539413,50,51.808623
-22.399226,50,51.86986
-30.596028,50,51.922881
-28.344001,50,51.978344
-30.975322,50,52.032932
-28.407044,50,52.09843
-24.273993,50,52.162629
-23.693471,50,52.220659
-27.88175,50,52.290546
-29.047151,50,52.345185
-25.58689,50,52.399353
-26.726567,50,52.460764
-26.573942,50,52.517747
-23.804061,50,52.578467
-26.127304,50,52.634581
-27.874152,50,52.687711
-29.915039,50,52.754959
-24.572434,50,52.813706
-26.75674,50,52.87266
-24.287609,50,52.931039
-24.227489,50,52.988611
-32.268058,50,53.047102
-29.572608,50,53.100912
-22.303609,50,53.164663
-24.240387,50,53.229606
-29.399996,50,53.290738
-31.585076,50,53.353124
-27.996827,50,53.409087
-21.318705,50,53.455265
-27.136014,50,53.491176
-24.691094,50,53.527347
-28.816559,50,53.564762
-19.043543,50,53.608226
-22.121586,50,53.65596
-25.028799,50,53.710845
-18.667139,50,53.766651
-23.330791,50,53.821535
-26.667273,50,53.8752
-31.759497,50,53.931904
-25.906547,50,53.988647
-25.628159,50,54.07092
-29.23709,50,54.129744
-29.274175,50,54.186088
-25.495892,50,54.23926
-30.451326,50,54.361578
-20.015655,50,54.419902
-24.185024,50,54.475171
-26.134581,50,54.528324
-27.530893,50,54.594238
-26.157277,50,54.6796
-27.569972,50,54.726046
-30.251007,50,54.782889
-27.51626,50,54.832379
-25.623987,50,54.904871
-29.115215,50,54.959086
-28.901204,50,55.016794
-29.555169,50,55.083328
-26.125436,50,55.144594
-29.453691,50,55.201598
-22.515903,50,55.280372
-24.783133,50,55.344308
-26.959642,50,55.398562
-33.218586,50,55.456256
-27.688286,50,55.512844
-22.11707,50,55.586841
-22.635667,50,55.644043
-23.151414,50,55.699536
-22.892739,50,55.758048
-27.712415,50,55.816931
-21.223295,50,55.85513
-21.289508,50,55.905334
-27.092892,50,55.991467
-27.53514,50,56.079213
-29.2937,50,56.133488
-20.483301,50,56.186938
-29.260139,50,56.239909
-26.969096,50,56.298141
-24.621847,50,56.355511
-24.507408,50,56.409575
-27.206721,50,56.464293
-27.303245,50,56.527015
-28.328661,50,56.582214
-26.679076,50,56.636154
-27.85969,50,56.691649
-25.097196,50,56.754359
-26.324318,50,56.800617
-20.623276,50,56.83815
-27.383764,50,56.875158
-19.928262,50,56.920797
-28.082761,50,56.995803
-26.736272,50,57.050436
-25.762743,50,57.107135
-32.086833,50,57.171285
-23.503441,50,57.237235
-22.090143,50,57.301044
-27.99361,50,57.355872
-26.270605,50,57.424321
-32.41462,50,57.47923
-29.874321,50,57.533419
-21.572955,50,57.58747
-26.783068,50,57.645804
-28.575028,50,57.700107
-28.459822,50,57.766173
-18.910249,50,57.820267
-31.820799,50,57.973795
-25.391442,50,58.028459
-28.086874,50,58.084738
-32.265071,50,58.147638
-22.376838,50,58.192602
-24.772267,50,58.247941
-29.907995,50,58.303494
-27.297678,50,58.363216
-30.938883,50,58.422589
-21.441178,50,58.459714
-29.581991,50,58.500103
-26.553972,50,58.54301
-28.575044,50,58.593708
-21.085384,50,58.654836
-29.510443,50,58.72089
-29.362212,50,58.782005
-24.378118,50,58.839454
-26.397053,50,58.894703
-22.712209,50,58.948742
-25.385159,50,59.002953
-19.605325,50,59.086644
-24.349053,50,59.14007
-23.131206,50,59.177407
-31.593008,50,59.214601
-24.631719,50,59.2585
-27.109472,50,59.296439
-21.74917,50,59.339061
-21.590183,50,59.381991
-27.894431,50,59.431307
-26.504717,50,59.48705
-28.677253,50,59.544456
-26.900145,50,59.599543
-21.926197,50,59.732464
-29.4611,50,59.787605
-25.823682,50,59.842945
-22.269296,50,59.898137
-20.49927,50,59.957181
-30.251634,50,60.012129
-29.614467,50,60.067389
-23.559996,50,60.122838
-23.93394,50,60.190769
-20.292595,50,60.25109
-22.443819,50,60.311121
-22.511236,50,60.365353
-22.67537,50,60.426072
-29.956481,50,60.48134
-31.878662,50,60.550444
-31.192463,50,60.605481
-32.136462,50,60.68341
-21.891389,50,60.738873
-25.822394,50,60.793264
-24.021615,50,60.848875
-19.190882,50,60.911213
-22.799125,50,60.97128
-21.408474,50,61.02933
-24.057639,50,61.083629
-27.529775,50,61.149343
-27.067553,50,61.20506
-26.193542,50,61.262301
-27.408399,50,61.318372
-27.448869,50,61.38009
-28.253306,50,61.436612
-29.088195,50,61.579135
-26.847051,50,61.633548
-27.315705,50,61.700376
-22.075254,50,61.755033
-27.364741,50,61.889404
-27.067451,50,61.954688
-22.14419,50,62.013518
-23.981235,50,62.068279
