#{"t_start": 1777198689.1238875, "env_id": "HalfCheetah-v4"}
r,l,t
1968.602952,1000,1089.222704
1060.849652,1000,1090.444863
4630.817624,1000,1091.770562
4881.433843,1000,1092.997902
3572.350529,1000,1094.224149
4736.07044,1000,1095.525887
4838.028396,1000,1096.738403
4880.590471,1000,1097.885343
4625.771722,1000,1099.043979
4832.979096,1000,1100.259566
4324.298227,1000,1101.33317
4816.31103,1000,1102.52882
4247.95541,1000,1103.760378
4739.346085,1000,1104.907513
2499.276136,1000,1106.044029
4214.388073,1000,1107.30639
4773.14377,1000,1108.53822
4691.109587,1000,1109.690102
4586.028528,1000,1110.881777
4787.81128,1000,1112.16399
4518.778741,1000,1113.350424
4733.932151,1000,1114.548618
4686.923834,1000,1115.684065
4382.263578,1000,1116.801018
4701.281921,1000,1117.94165
4611.129846,1000,1119.21663
4821.591852,1000,1120.366729
4759.153458,1000,1121.567966
3253.39781,1000,1122.658333
4654.842391,1000,1123.659705
5044.361277,1000,1124.760392
4312.079816,1000,1125.938367
4834.694224,1000,1127.201489
3550.195611,1000,1128.480051
2933.088009,1000,1129.595551
4399.280847,1000,1130.904457
4674.687936,1000,1132.268514
4655.172608,1000,1133.452452
4511.521585,1000,1134.641998
4506.512022,1000,1135.920456
4884.98019,1000,1137.081321
4802.989694,1000,1138.468424
4599.59152,1000,1139.635622
4686.77541,1000,1140.648391
4658.538689,1000,1141.743738
4420.207621,1000,1142.944591
4430.332953,1000,1144.103623
4787.63082,1000,1145.283996
4411.53413,1000,1146.469096
4562.5061,1000,1147.637139
4433.982233,1000,1148.804922
4648.214831,1000,1149.972897
4724.327935,1000,1151.091375
4622.419741,1000,1152.219384
4640.398056,1000,1153.590526
4676.994945,1000,1154.836206
4963.634177,1000,1156.20194
4297.106693,1000,1157.454494
4861.748626,1000,1158.688666
4392.916622,1000,1159.989971
4606.835309,1000,1161.261913
4518.906153,1000,1162.503629
4878.702939,1000,1163.529786
4617.519204,1000,1164.664259
4797.529098,1000,1165.827277
4700.018359,1000,1167.009264
4508.372872,1000,1168.334154
4737.736703,1000,1169.654583
5051.351844,1000,1171.199816
4873.980441,1000,1172.174521
4592.022108,1000,1173.546423
4438.298568,1000,1174.710266
4791.241643,1000,1175.855947
4795.404447,1000,1177.132463
4576.196107,1000,1178.470525
4854.988972,1000,1179.69384
4337.9037,1000,1180.897094
4998.655704,1000,1182.087167
4720.043635,1000,1183.248902
4654.692045,1000,1184.431009
4907.690244,1000,1185.69746
5006.32943,1000,1186.85623
5038.604584,1000,1188.043968
