#{"t_start": 1777197052.5872521, "env_id": "Reacher-v4"}
r,l,t
-57.465663,50,5.943081
-40.704869,50,5.956761
-58.207965,50,6.754168
-56.631325,50,6.780337
-53.762134,50,6.79585
-50.09605,50,6.810045
-49.131145,50,6.82348
-52.795051,50,6.836853
-56.910671,50,6.85033
-53.03475,50,6.864281
-49.691907,50,6.877204
-47.395748,50,6.890224
-52.51376,50,6.903133
-46.788851,50,6.916466
-48.866422,50,6.929966
-50.404427,50,6.943314
-50.806262,50,6.956607
-51.922718,50,6.970326
-55.605646,50,6.983342
-62.26121,50,6.996362
-55.053088,50,7.009281
-49.126267,50,7.022622
-50.165898,50,7.036106
-48.896754,50,7.049736
-49.853272,50,7.064022
-48.178658,50,7.077392
-61.254587,50,7.09058
-50.707822,50,7.103899
-53.044096,50,7.117192
-54.932636,50,7.130673
-51.990753,50,7.144034
-42.874004,50,7.157562
-56.583861,50,7.171209
-47.335383,50,7.184573
-51.926653,50,7.197742
-42.990724,50,7.211043
-58.714253,50,7.224422
-57.921091,50,7.237951
-60.092009,50,7.251425
-49.471782,50,7.265446
-48.853853,50,7.278366
-47.419901,50,7.291408
-59.656114,50,7.304515
-48.000583,50,8.107959
-53.186056,50,8.132838
-49.330456,50,8.148572
-48.527141,50,8.16287
-45.774152,50,8.177059
-53.425923,50,8.190572
-52.071489,50,8.204246
-52.807253,50,8.217865
-48.27915,50,8.231246
-53.486098,50,8.244697
-55.707522,50,8.258363
-50.529344,50,8.272492
-52.322169,50,8.286057
-52.67185,50,8.299718
-55.185823,50,8.31304
-51.858849,50,8.326455
-42.345592,50,8.340077
-52.987193,50,8.353812
-47.219653,50,8.367748
-56.393337,50,8.381043
-51.04834,50,8.394462
-54.814997,50,8.408025
-60.232264,50,8.421501
-50.754246,50,8.435014
-54.223543,50,8.448494
-52.9266,50,8.461907
-54.084576,50,8.47598
-54.400203,50,8.489387
-51.632493,50,8.502804
-54.583827,50,8.51622
-48.97245,50,8.529737
-41.626383,50,8.543284
-47.275929,50,8.556892
-47.502706,50,8.571018
-53.14827,50,8.584452
-58.030007,50,8.598154
-45.469479,50,8.611579
-42.701294,50,8.625009
-49.512951,50,8.638505
-51.594162,50,8.651884
-62.112896,50,8.665934
-49.224918,50,9.452821
-49.411177,50,9.469406
-49.385676,50,9.48309
-47.480228,50,9.496407
-55.294903,50,9.509781
-49.687686,50,9.523171
-43.100659,50,9.536485
-52.832217,50,9.550029
-45.860286,50,9.563514
-56.134657,50,9.577447
-47.488094,50,9.59046
-53.910602,50,9.604696
-45.416849,50,9.618876
-59.677404,50,9.632386
-49.264312,50,9.645717
-55.963229,50,9.659112
-53.067517,50,9.67294
-43.346451,50,9.686296
-51.827542,50,9.69954
-51.431505,50,9.713593
-50.937993,50,9.727327
-49.805004,50,9.741301
-51.549159,50,9.755171
-45.655232,50,9.769404
-51.952215,50,9.782889
-45.608311,50,9.796213
-49.599882,50,9.809689
-47.912065,50,9.822894
-49.692157,50,9.836125
-45.143915,50,9.849506
-47.258895,50,9.862921
-53.845163,50,9.876516
-50.694905,50,9.889959
-50.410903,50,9.903456
-55.981326,50,9.917048
-53.051364,50,9.930536
-49.212883,50,9.94398
-52.305179,50,9.957405
-54.223922,50,9.971241
-57.027609,50,9.984417
-43.540881,50,9.997566
-43.846703,50,10.810381
-52.084812,50,10.825934
-42.664607,50,10.846403
-58.67672,50,10.860108
-52.22408,50,10.874152
-42.592078,50,10.887396
-51.46763,50,10.900828
-50.481493,50,10.914232
-44.970173,50,10.927738
-36.778971,50,10.941073
-51.203643,50,10.954578
-48.423973,50,10.968023
-51.710421,50,10.981735
-56.23013,50,10.994991
-44.267818,50,11.008746
-50.937192,50,11.022286
-51.522384,50,11.035895
-40.697037,50,11.049408
-47.844266,50,11.062758
-48.198937,50,11.076716
-46.665392,50,11.090312
-42.499915,50,11.103703
-48.103193,50,11.117035
-52.056091,50,11.130486
-53.368757,50,11.143709
-57.022766,50,11.15711
-40.385085,50,11.170634
-42.989789,50,11.184535
-49.237281,50,11.198015
-47.385741,50,11.211376
-47.373529,50,11.224825
-43.70895,50,11.238369
-56.676115,50,11.25201
-56.679817,50,11.265756
-40.011327,50,11.279833
-51.436603,50,11.292799
-44.032167,50,11.305995
-44.128426,50,11.319159
-52.272994,50,11.332048
-46.664194,50,11.34517
-50.878676,50,11.358401
-50.907449,50,12.171208
-51.957285,50,12.196167
-47.793413,50,12.21082
-46.316899,50,12.225821
-52.050894,50,12.239482
-47.26192,50,12.252787
-49.557446,50,12.266111
-55.544641,50,12.280005
-50.832867,50,12.293403
-49.375824,50,12.306856
-57.502378,50,12.320497
-46.32478,50,12.333917
-50.085729,50,12.3474
-48.692607,50,12.360841
-43.561872,50,12.374444
-45.258677,50,12.388276
-53.761123,50,12.401896
-49.057385,50,12.415261
-47.033668,50,12.428765
-56.844467,50,12.442207
-54.443974,50,12.455582
-45.891284,50,12.469032
-46.863263,50,12.482886
-44.789962,50,12.496253
-46.959212,50,12.509625
-50.755097,50,12.523177
-49.177582,50,12.536638
-48.522152,50,12.55025
-45.005598,50,12.563628
-48.219607,50,12.577102
-51.607996,50,12.590935
-47.557859,50,12.604295
-42.436373,50,12.617819
-42.364837,50,12.631346
-50.061765,50,12.64498
-54.523798,50,12.658375
